State,City,Date,Temperature (°C),Rainfall (mm),Humidity (%),Condition
Uttar Pradesh,Noida,2025-05-13,41.2,2.1,33.5,Clear
Bihar,Bhagalpur,2025-05-12,41.5,2.5,32.7,Dry
Gujarat,Ahmedabad,2025-05-12,41.9,8.9,16.1,Sunny
Assam,Dibrugarh,2025-05-11,43.1,4.1,34.3,Dry
Arunachal Pradesh,Naharlagun,2025-05-10,42.1,8.8,19.6,Sunny
Assam,Guwahati,2025-05-10,33.6,6.7,24.8,Sunny
Assam,Silchar,2025-05-10,40.1,7.2,48.3,Sunny
Haryana,Faridabad,2025-05-10,41.4,8.4,15.6,Dry
Karnataka,Mangaluru,2025-05-10,31.6,10.6,42.0,Dry
Nagaland,Dimapur,2025-05-10,34.0,1.0,43.3,Hot
Andhra Pradesh,Vijayawada,2025-05-09,28.0,0.8,22.5,Clear
Gujarat,Surat,2025-05-08,43.3,10.4,16.4,Sunny
Punjab,Jalandhar,2025-05-08,33.5,0.5,42.8,Sunny
Telangana,Nizamabad,2025-05-08,45.5,6.4,37.8,Hot
Himachal Pradesh,Manali,2025-05-07,41.0,1.8,34.4,Clear
Maharashtra,Nagpur,2025-05-07,39.7,0.6,32.0,Dry
Rajasthan,Jaipur,2025-05-06,36.7,3.7,46.0,Sunny
Telangana,Hyderabad,2025-05-06,45.0,5.9,37.3,Sunny
Karnataka,Hubballi,2025-05-05,35.5,8.5,27.8,Hot
Maharashtra,Pune,2025-05-04,36.2,3.2,45.5,Dry
Rajasthan,Jodhpur,2025-05-04,29.7,2.7,22.0,Dry
Tripura,Agartala,2025-05-04,36.2,3.2,45.5,Dry
Gujarat,Vadodara,2025-05-03,34.1,1.1,43.4,Clear
Manipur,Imphal,2025-05-03,33.7,6.8,24.9,Hot
West Bengal,Kolkata,2025-05-03,38.7,11.7,31.0,Hot
Kerala,Thiruvananthapuram,2025-05-02,42.9,3.6,37.4,Dry
West Bengal,Howrah,2025-05-02,29.2,2.2,21.5,Clear
Jammu and Kashmir,Jammu,2025-05-02,37.9,10.8,31.3,Dry
Goa,Margao,2025-05-01,42.1,9.3,49.2,Clear
Madhya Pradesh,Jabalpur,2025-05-01,43.2,4.0,36.6,Sunny
Punjab,Amritsar,2025-05-01,44.3,5.3,35.5,Dry
Karnataka,Mysuru,2025-04-30,38.9,5.9,48.2,Clear
Uttar Pradesh,Agra,2025-04-30,28.7,1.7,21.0,Hot
Himachal Pradesh,Dharamshala,2025-04-29,37.5,4.2,15.0,Clear
Chhattisgarh,Raipur,2025-04-28,32.3,11.3,42.7,Clear
Tamil Nadu,Tiruchirappalli,2025-04-28,41.9,2.6,36.4,Hot
Bihar,Gaya,2025-04-27,41.1,8.3,48.2,Sunny
Chhattisgarh,Bilaspur,2025-04-27,34.8,7.7,28.2,Sunny
Maharashtra,Nashik,2025-04-27,37.2,10.2,29.5,Clear
Odisha,Bhubaneswar,2025-04-27,37.2,10.2,29.5,Clear
Odisha,Rourkela,2025-04-27,43.3,4.3,34.5,Hot
Chhattisgarh,Durg,2025-04-26,45.8,0.7,20.0,Dry
Kerala,Kozhikode,2025-04-26,34.2,1.2,43.5,Dry
Maharashtra,Aurangabad,2025-04-26,40.1,0.9,33.5,Hot
Delhi (NCT),New Delhi,2025-04-26,45.8,0.7,20.0,Dry
Maharashtra,Mumbai,2025-04-25,36.7,9.7,29.0,Hot
Rajasthan,Kota,2025-04-25,31.7,4.8,22.9,Hot
Punjab,Ludhiana,2025-04-24,40.7,1.7,31.9,Dry
Karnataka,Bengaluru,2025-04-23,29.2,8.2,39.6,Dry
Gujarat,Rajkot,2025-04-22,32.8,5.9,24.0,Sunny
Nagaland,Kohima,2025-04-21,38.1,11.2,29.3,Hot
Uttar Pradesh,Lucknow,2025-04-20,45.6,0.4,20.9,Dry
Delhi (NCT),Rohini,2025-04-20,43.4,4.4,34.6,Clear
Haryana,Panipat,2025-04-19,41.3,2.3,32.5,Hot
Madhya Pradesh,Gwalior,2025-04-19,32.8,5.7,26.2,Sunny
Mizoram,Aizawl,2025-04-19,33.9,7.0,25.1,Dry
Sikkim,Gangtok,2025-04-18,31.8,4.9,23.0,Clear
Jammu and Kashmir,Srinagar,2025-04-18,32.0,4.8,26.5,Clear
Goa,Panaji,2025-04-16,40.2,7.4,47.3,Dry
Haryana,Gurugram,2025-04-16,35.4,2.4,44.7,Dry
Telangana,Warangal,2025-04-15,34.2,7.2,26.5,Sunny
Meghalaya,Shillong,2025-04-14,35.8,8.8,28.1,Sunny
Uttar Pradesh,Varanasi,2025-04-13,35.0,7.9,28.4,Clear
Andhra Pradesh,Tirupati,2025-04-12,44.0,4.8,37.4,Sunny
Jharkhand,Dhanbad,2025-04-12,38.1,5.1,47.4,Clear
Andhra Pradesh,Guntur,2025-04-11,41.5,8.4,16.8,Clear
Jharkhand,Ranchi,2025-04-10,30.2,9.3,39.5,Dry
Odisha,Cuttack,2025-04-10,29.8,2.9,21.0,Clear
Delhi (NCT),Dwarka,2025-04-10,40.9,1.9,32.1,Hot
Arunachal Pradesh,Itanagar,2025-04-09,35.3,8.1,29.8,Dry
Uttar Pradesh,Kanpur,2025-04-09,33.1,0.0,43.5,Clear
West Bengal,Darjeeling,2025-04-09,30.3,3.2,23.7,Dry
Ladakh,Kargil,2025-04-09,34.2,1.3,42.4,Hot
Himachal Pradesh,Shimla,2025-04-08,39.3,0.1,32.7,Hot
Rajasthan,Udaipur,2025-04-08,45.0,12.0,19.2,Dry
West Bengal,Siliguri,2025-04-08,31.0,10.0,41.4,Hot
Ladakh,Leh,2025-04-08,38.2,5.4,45.3,Dry
Andhra Pradesh,Visakhapatnam,2025-04-07,39.4,6.1,16.9,Hot
Kerala,Kochi,2025-04-06,42.3,3.4,32.4,Hot
Uttar Pradesh,Noida,2025-04-06,37.5,10.5,29.8,Hot
Bihar,Bhagalpur,2025-04-05,37.8,10.9,29.0,Clear
Gujarat,Ahmedabad,2025-04-05,38.2,5.2,47.5,Dry
Assam,Dibrugarh,2025-04-04,39.4,0.4,30.6,Clear
Arunachal Pradesh,Naharlagun,2025-04-03,38.4,5.1,15.9,Dry
Assam,Guwahati,2025-04-03,29.9,3.0,21.1,Dry
Assam,Silchar,2025-04-03,36.4,3.5,44.6,Dry
Haryana,Faridabad,2025-04-03,37.7,4.7,47.0,Clear
Karnataka,Mangaluru,2025-04-03,46.0,6.9,38.3,Clear
Nagaland,Dimapur,2025-04-03,30.3,9.4,39.6,Sunny
Andhra Pradesh,Vijayawada,2025-04-02,42.4,9.2,18.8,Hot
Bihar,Patna,2025-04-01,31.8,5.0,21.9,Sunny
Gujarat,Surat,2025-04-01,39.6,6.7,47.8,Dry
Punjab,Jalandhar,2025-04-01,29.8,8.9,39.1,Dry
Telangana,Nizamabad,2025-04-01,41.8,2.7,34.1,Sunny
Himachal Pradesh,Manali,2025-03-31,37.3,10.2,30.7,Hot
Maharashtra,Nagpur,2025-03-31,36.0,9.0,28.3,Clear
Rajasthan,Jaipur,2025-03-30,33.0,0.0,42.3,Dry
Telangana,Hyderabad,2025-03-30,41.3,2.2,33.6,Dry
Karnataka,Hubballi,2025-03-29,31.8,4.8,24.1,Sunny
Maharashtra,Pune,2025-03-28,32.5,11.6,41.8,Clear
Rajasthan,Jodhpur,2025-03-28,44.1,11.1,18.3,Clear
Tripura,Agartala,2025-03-28,32.5,11.6,41.8,Clear
Gujarat,Vadodara,2025-03-27,30.4,9.5,39.7,Hot
Manipur,Imphal,2025-03-27,30.0,3.1,21.2,Sunny
West Bengal,Kolkata,2025-03-27,35.0,8.0,27.3,Sunny
Kerala,Thiruvananthapuram,2025-03-26,39.2,12.0,33.7,Clear
West Bengal,Howrah,2025-03-26,43.6,10.6,17.8,Hot
Jammu and Kashmir,Jammu,2025-03-26,34.2,7.1,27.6,Clear
Goa,Margao,2025-03-25,38.4,5.6,45.5,Hot
Madhya Pradesh,Jabalpur,2025-03-25,39.5,0.3,32.9,Dry
Punjab,Amritsar,2025-03-25,40.6,1.6,31.8,Clear
Karnataka,Mysuru,2025-03-24,35.2,2.2,44.5,Hot
Uttar Pradesh,Agra,2025-03-24,43.1,10.1,17.3,Sunny
Himachal Pradesh,Dharamshala,2025-03-23,33.8,0.5,46.4,Hot
Chhattisgarh,Raipur,2025-03-22,28.6,7.6,39.0,Hot
Tamil Nadu,Tiruchirappalli,2025-03-22,38.2,11.0,32.7,Sunny
Bihar,Gaya,2025-03-21,37.4,4.6,44.5,Dry
Chhattisgarh,Bilaspur,2025-03-21,31.1,4.0,24.5,Dry
Maharashtra,Nashik,2025-03-21,33.5,6.5,25.8,Hot
Odisha,Bhubaneswar,2025-03-21,33.5,6.5,25.8,Hot
Odisha,Rourkela,2025-03-21,39.6,0.6,30.8,Sunny
Chhattisgarh,Durg,2025-03-20,42.1,9.1,16.3,Clear
Kerala,Kozhikode,2025-03-20,30.5,9.6,39.8,Clear
Maharashtra,Aurangabad,2025-03-20,36.4,9.3,29.8,Sunny
Delhi (NCT),New Delhi,2025-03-20,42.1,9.1,16.3,Clear
Maharashtra,Mumbai,2025-03-19,33.0,6.0,25.3,Sunny
Rajasthan,Kota,2025-03-19,28.0,1.1,19.2,Sunny
Punjab,Ludhiana,2025-03-18,37.0,10.1,28.2,Clear
Karnataka,Bengaluru,2025-03-17,43.6,4.5,35.9,Clear
Gujarat,Rajkot,2025-03-16,29.1,2.2,20.3,Dry
Nagaland,Kohima,2025-03-15,34.4,7.5,25.6,Sunny
Uttar Pradesh,Lucknow,2025-03-14,41.9,8.8,17.2,Clear
Delhi (NCT),Rohini,2025-03-14,39.7,0.7,30.9,Hot
Haryana,Panipat,2025-03-13,37.6,10.7,28.8,Sunny
Madhya Pradesh,Gwalior,2025-03-13,29.1,2.0,22.5,Dry
Mizoram,Aizawl,2025-03-13,30.2,3.3,21.4,Clear
Sikkim,Gangtok,2025-03-12,28.1,1.2,19.3,Hot
Jammu and Kashmir,Srinagar,2025-03-12,28.3,1.1,22.8,Hot
Goa,Panaji,2025-03-10,36.5,3.7,43.6,Clear
Haryana,Gurugram,2025-03-10,31.7,10.8,41.0,Clear
Telangana,Warangal,2025-03-09,30.5,3.5,22.8,Dry
Meghalaya,Shillong,2025-03-08,32.1,5.1,24.4,Dry
Uttar Pradesh,Varanasi,2025-03-07,31.3,4.2,24.7,Hot
Andhra Pradesh,Tirupati,2025-03-06,40.3,1.1,33.7,Dry
Jharkhand,Dhanbad,2025-03-06,34.4,1.4,43.7,Hot
Andhra Pradesh,Guntur,2025-03-05,37.8,4.7,48.2,Hot
Jharkhand,Ranchi,2025-03-04,44.6,5.6,35.8,Clear
Odisha,Cuttack,2025-03-04,44.2,11.3,17.3,Hot
Delhi (NCT),Dwarka,2025-03-04,37.2,10.3,28.4,Sunny
Arunachal Pradesh,Itanagar,2025-03-03,31.6,4.4,26.1,Clear
Uttar Pradesh,Kanpur,2025-03-03,29.4,8.4,39.8,Hot
West Bengal,Darjeeling,2025-03-03,44.7,11.6,20.0,Clear
Ladakh,Kargil,2025-03-03,30.5,9.7,38.7,Sunny
Himachal Pradesh,Shimla,2025-03-02,35.6,8.5,29.0,Sunny
Rajasthan,Udaipur,2025-03-02,41.3,8.3,15.5,Clear
West Bengal,Siliguri,2025-03-02,45.4,6.3,37.7,Sunny
Ladakh,Leh,2025-03-02,34.5,1.7,41.6,Clear
Andhra Pradesh,Visakhapatnam,2025-03-01,35.7,2.4,48.3,Sunny
Kerala,Kochi,2025-02-28,13.6,5.6,43.7,Sunny
Uttar Pradesh,Noida,2025-02-28,9.2,0.3,41.1,Sunny
Bihar,Bhagalpur,2025-02-27,9.3,4.9,40.3,Foggy
Gujarat,Ahmedabad,2025-02-27,9.8,7.2,58.8,Cloudy
Assam,Dibrugarh,2025-02-26,10.9,6.5,41.9,Foggy
Arunachal Pradesh,Naharlagun,2025-02-25,10.6,2.6,62.3,Cloudy
Assam,Guwahati,2025-02-25,19.4,5.1,32.4,Cloudy
Assam,Silchar,2025-02-25,25.8,1.6,55.9,Cloudy
Haryana,Faridabad,2025-02-25,9.3,6.7,58.3,Foggy
Karnataka,Mangaluru,2025-02-25,17.7,0.7,49.6,Foggy
Nagaland,Dimapur,2025-02-25,19.9,7.4,50.9,Clear
Andhra Pradesh,Vijayawada,2025-02-24,14.4,2.8,30.1,Sunny
Bihar,Patna,2025-02-23,21.1,3.2,33.2,Clear
Gujarat,Surat,2025-02-23,11.0,4.8,59.1,Cloudy
Punjab,Jalandhar,2025-02-23,19.4,6.9,50.4,Cloudy
Telangana,Nizamabad,2025-02-23,13.5,4.6,45.4,Clear
Himachal Pradesh,Manali,2025-02-22,9.2,3.9,42.0,Sunny
Maharashtra,Nagpur,2025-02-22,25.7,6.9,39.6,Foggy
Rajasthan,Jaipur,2025-02-21,22.6,2.0,53.6,Cloudy
Telangana,Hyderabad,2025-02-21,13.0,4.1,44.9,Cloudy
Karnataka,Hubballi,2025-02-20,21.5,2.7,35.4,Clear
Maharashtra,Pune,2025-02-19,22.1,1.5,53.1,Foggy
Rajasthan,Jodhpur,2025-02-19,15.7,5.0,64.7,Foggy
Tripura,Agartala,2025-02-19,22.1,1.5,53.1,Foggy
Gujarat,Vadodara,2025-02-18,20.0,7.5,51.0,Sunny
Manipur,Imphal,2025-02-18,19.5,5.2,32.5,Clear
West Bengal,Kolkata,2025-02-18,24.7,5.9,38.6,Clear
Kerala,Thiruvananthapuram,2025-02-17,11.3,1.5,45.0,Foggy
West Bengal,Howrah,2025-02-17,15.2,4.5,64.2,Sunny
Jammu and Kashmir,Jammu,2025-02-17,24.1,0.8,38.9,Foggy
Goa,Margao,2025-02-16,9.6,7.9,56.8,Sunny
Madhya Pradesh,Jabalpur,2025-02-16,11.4,6.1,44.2,Cloudy
Punjab,Amritsar,2025-02-16,12.1,7.7,43.1,Foggy
Karnataka,Mysuru,2025-02-15,24.8,4.2,55.8,Sunny
Uttar Pradesh,Agra,2025-02-15,14.7,4.0,63.7,Clear
Himachal Pradesh,Dharamshala,2025-02-14,24.0,6.1,57.7,Sunny
Chhattisgarh,Raipur,2025-02-13,18.4,1.4,50.3,Sunny
Tamil Nadu,Tiruchirappalli,2025-02-13,10.3,0.5,44.0,Clear
Bihar,Gaya,2025-02-12,8.6,6.9,55.8,Cloudy
Chhattisgarh,Bilaspur,2025-02-12,21.0,5.8,35.8,Cloudy
Maharashtra,Nashik,2025-02-12,23.2,4.4,37.1,Sunny
Odisha,Bhubaneswar,2025-02-12,23.2,4.4,37.1,Sunny
Odisha,Rourkela,2025-02-12,11.1,6.7,42.1,Clear
Chhattisgarh,Durg,2025-02-11,13.7,3.0,62.7,Foggy
Kerala,Kozhikode,2025-02-11,20.1,7.6,51.1,Foggy
Maharashtra,Aurangabad,2025-02-11,8.3,3.0,41.1,Clear
Delhi (NCT),New Delhi,2025-02-11,13.7,3.0,62.7,Foggy
Maharashtra,Mumbai,2025-02-10,22.7,3.9,36.6,Clear
Rajasthan,Kota,2025-02-10,17.5,3.2,30.5,Clear
Punjab,Ludhiana,2025-02-09,8.5,4.1,39.5,Foggy
Karnataka,Bengaluru,2025-02-08,15.3,6.4,47.2,Foggy
Gujarat,Rajkot,2025-02-07,18.6,4.3,31.6,Cloudy
Nagaland,Kohima,2025-02-06,23.9,1.5,36.9,Clear
Uttar Pradesh,Lucknow,2025-02-05,13.7,6.6,63.6,Foggy
Delhi (NCT),Rohini,2025-02-05,11.2,6.8,42.2,Sunny
Haryana,Panipat,2025-02-04,9.1,4.7,40.1,Clear
Madhya Pradesh,Gwalior,2025-02-04,19.0,3.8,33.8,Cloudy
Mizoram,Aizawl,2025-02-04,19.7,5.4,32.7,Foggy
Sikkim,Gangtok,2025-02-03,17.6,3.3,30.6,Sunny
Jammu and Kashmir,Srinagar,2025-02-03,18.4,6.8,34.1,Sunny
Goa,Panaji,2025-02-01,25.7,6.0,54.9,Foggy
Haryana,Gurugram,2025-02-01,21.3,0.7,52.3,Foggy
Telangana,Warangal,2025-01-31,20.2,1.4,34.1,Cloudy
Meghalaya,Shillong,2025-01-30,21.8,3.0,35.7,Cloudy
Uttar Pradesh,Varanasi,2025-01-29,21.2,6.0,36.0,Sunny
Andhra Pradesh,Tirupati,2025-01-28,12.2,6.9,45.0,Cloudy
Jharkhand,Dhanbad,2025-01-28,24.0,3.4,55.0,Sunny
Uttarakhand,Haridwar,2025-01-28,8.0,0.9,57.9,Sunny
Andhra Pradesh,Guntur,2025-01-27,9.6,2.5,59.5,Sunny
Jharkhand,Ranchi,2025-01-26,16.1,3.6,47.1,Foggy
Odisha,Cuttack,2025-01-26,15.6,1.3,63.7,Sunny
Delhi (NCT),Dwarka,2025-01-26,8.7,4.3,39.7,Clear
Arunachal Pradesh,Itanagar,2025-01-25,21.7,2.0,37.4,Foggy
Uttar Pradesh,Kanpur,2025-01-25,19.2,2.2,51.1,Sunny
West Bengal,Darjeeling,2025-01-25,16.5,1.3,31.3,Foggy
Ladakh,Kargil,2025-01-25,19.9,3.8,50.0,Clear
Himachal Pradesh,Shimla,2025-01-24,25.5,2.2,40.3,Clear
Rajasthan,Udaipur,2025-01-24,12.9,2.2,61.9,Foggy
West Bengal,Siliguri,2025-01-24,17.1,0.1,49.0,Clear
Ladakh,Leh,2025-01-24,23.7,4.0,52.9,Foggy
Andhra Pradesh,Visakhapatnam,2025-01-23,25.9,8.0,59.6,Clear
Tamil Nadu,Madurai,2025-01-23,10.8,0.1,59.8,Sunny
Kerala,Kochi,2025-01-22,9.9,1.9,40.0,Clear
Uttar Pradesh,Noida,2025-01-22,23.5,4.7,37.4,Clear
Bihar,Bhagalpur,2025-01-21,23.6,1.2,36.6,Sunny
Gujarat,Ahmedabad,2025-01-21,24.1,3.5,55.1,Foggy
Assam,Dibrugarh,2025-01-20,25.2,2.8,38.2,Sunny
Arunachal Pradesh,Naharlagun,2025-01-19,24.9,7.0,58.6,Foggy
Assam,Guwahati,2025-01-19,15.7,1.4,63.8,Foggy
Assam,Silchar,2025-01-19,22.1,6.0,52.2,Foggy
Haryana,Faridabad,2025-01-19,23.6,3.0,54.6,Sunny
Karnataka,Mangaluru,2025-01-19,14.0,5.1,45.9,Sunny
Nagaland,Dimapur,2025-01-19,16.2,3.7,47.2,Cloudy
Andhra Pradesh,Vijayawada,2025-01-18,10.7,7.2,61.5,Clear
Bihar,Patna,2025-01-17,17.4,7.6,64.6,Cloudy
Gujarat,Surat,2025-01-17,25.3,1.1,55.4,Foggy
Punjab,Jalandhar,2025-01-17,15.7,3.2,46.7,Foggy
Telangana,Nizamabad,2025-01-17,9.8,0.9,41.7,Cloudy
Himachal Pradesh,Manali,2025-01-16,23.5,0.2,38.3,Clear
Maharashtra,Nagpur,2025-01-16,22.0,3.2,35.9,Sunny
Rajasthan,Jaipur,2025-01-15,18.9,6.4,49.9,Foggy
Telangana,Hyderabad,2025-01-15,9.3,0.4,41.2,Foggy
Karnataka,Hubballi,2025-01-14,17.8,7.1,31.7,Cloudy
Maharashtra,Pune,2025-01-13,18.4,5.9,49.4,Sunny
Rajasthan,Jodhpur,2025-01-13,12.0,1.3,61.0,Sunny
Tripura,Agartala,2025-01-13,18.4,5.9,49.4,Sunny
Gujarat,Vadodara,2025-01-12,16.3,3.8,47.3,Clear
Manipur,Imphal,2025-01-12,15.8,1.5,63.9,Cloudy
West Bengal,Kolkata,2025-01-12,21.0,2.2,34.9,Cloudy
Kerala,Thiruvananthapuram,2025-01-11,25.6,5.9,41.3,Sunny
West Bengal,Howrah,2025-01-11,11.5,0.8,60.5,Clear
Jammu and Kashmir,Jammu,2025-01-11,20.4,5.2,35.2,Sunny
Goa,Margao,2025-01-10,23.9,4.2,53.1,Clear
Madhya Pradesh,Jabalpur,2025-01-10,25.7,2.4,40.5,Foggy
Punjab,Amritsar,2025-01-10,8.4,4.0,39.4,Sunny
Karnataka,Mysuru,2025-01-09,21.1,0.5,52.1,Clear
Uttar Pradesh,Agra,2025-01-09,11.0,0.3,60.0,Cloudy
Himachal Pradesh,Dharamshala,2025-01-08,20.3,2.4,54.0,Clear
Chhattisgarh,Raipur,2025-01-07,14.7,5.8,46.6,Clear
Tamil Nadu,Tiruchirappalli,2025-01-07,24.6,4.9,40.3,Cloudy
Bihar,Gaya,2025-01-06,22.9,3.2,52.1,Foggy
Chhattisgarh,Bilaspur,2025-01-06,17.3,2.1,32.1,Foggy
Maharashtra,Nashik,2025-01-06,19.5,0.7,33.4,Clear
Odisha,Bhubaneswar,2025-01-06,19.5,0.7,33.4,Clear
Odisha,Rourkela,2025-01-06,25.4,3.0,38.4,Cloudy
Chhattisgarh,Durg,2025-01-05,10.0,7.4,59.0,Sunny
Kerala,Kozhikode,2025-01-05,16.4,3.9,47.4,Sunny
Maharashtra,Aurangabad,2025-01-05,22.6,7.4,37.4,Cloudy
Delhi (NCT),New Delhi,2025-01-05,10.0,7.4,59.0,Sunny
Maharashtra,Mumbai,2025-01-04,19.0,0.2,32.9,Cloudy
Rajasthan,Kota,2025-01-04,13.8,7.6,61.9,Cloudy
Punjab,Ludhiana,2025-01-03,22.8,0.4,35.8,Sunny
Karnataka,Bengaluru,2025-01-02,11.6,2.7,43.5,Sunny
Uttarakhand,Nainital,2025-01-02,23.2,6.2,55.1,Sunny
Gujarat,Rajkot,2025-01-01,14.9,0.6,63.0,Foggy
Nagaland,Kohima,2024-12-31,20.2,5.9,33.2,Cloudy
Uttar Pradesh,Lucknow,2024-12-30,10.0,2.9,59.9,Sunny
Delhi (NCT),Rohini,2024-12-30,25.5,3.1,38.5,Clear
Haryana,Panipat,2024-12-29,23.4,1.0,36.4,Cloudy
Madhya Pradesh,Gwalior,2024-12-29,15.3,0.1,30.1,Foggy
Mizoram,Aizawl,2024-12-29,16.0,1.7,64.1,Sunny
Sikkim,Gangtok,2024-12-28,13.9,7.7,62.0,Clear
Jammu and Kashmir,Srinagar,2024-12-28,14.7,3.1,30.4,Clear
Goa,Panaji,2024-12-26,22.0,2.3,51.2,Sunny
Haryana,Gurugram,2024-12-26,17.6,5.1,48.6,Sunny
Telangana,Warangal,2024-12-25,16.5,5.8,30.4,Foggy
Meghalaya,Shillong,2024-12-24,18.1,7.4,32.0,Foggy
Uttar Pradesh,Varanasi,2024-12-23,17.5,2.3,32.3,Clear
Andhra Pradesh,Tirupati,2024-12-22,8.5,3.2,41.3,Foggy
Jharkhand,Dhanbad,2024-12-22,20.3,7.8,51.3,Clear
Uttarakhand,Haridwar,2024-12-22,22.3,5.3,54.2,Clear
Andhra Pradesh,Guntur,2024-12-21,23.9,6.9,55.8,Clear
Jharkhand,Ranchi,2024-12-20,12.4,8.0,43.4,Sunny
Odisha,Cuttack,2024-12-20,11.9,5.7,60.0,Clear
Delhi (NCT),Dwarka,2024-12-20,23.0,0.6,36.0,Cloudy
Arunachal Pradesh,Itanagar,2024-12-19,18.0,6.4,33.7,Sunny
Uttar Pradesh,Kanpur,2024-12-19,15.5,6.6,47.4,Clear
West Bengal,Darjeeling,2024-12-19,12.8,5.7,62.7,Sunny
Ladakh,Kargil,2024-12-19,16.2,0.1,46.3,Cloudy
Himachal Pradesh,Shimla,2024-12-18,21.8,6.6,36.6,Cloudy
Rajasthan,Udaipur,2024-12-18,9.2,6.6,58.2,Sunny
West Bengal,Siliguri,2024-12-18,13.4,4.5,45.3,Cloudy
Ladakh,Leh,2024-12-18,20.0,0.3,49.2,Sunny
Andhra Pradesh,Visakhapatnam,2024-12-17,22.2,4.3,55.9,Cloudy
Tamil Nadu,Madurai,2024-12-17,25.1,4.5,56.1,Clear
Kerala,Kochi,2024-12-16,24.2,6.3,36.3,Cloudy
Uttar Pradesh,Noida,2024-12-16,19.8,1.0,33.7,Cloudy
Bihar,Bhagalpur,2024-12-15,19.9,5.6,32.9,Clear
Assam,Dibrugarh,2024-12-14,21.5,7.2,34.5,Clear
Arunachal Pradesh,Naharlagun,2024-12-13,21.2,3.3,54.9,Sunny
Assam,Guwahati,2024-12-13,12.0,5.8,60.1,Sunny
Assam,Silchar,2024-12-13,18.4,2.3,48.5,Sunny
Haryana,Faridabad,2024-12-13,19.9,7.4,50.9,Clear
Karnataka,Mangaluru,2024-12-13,10.3,1.4,42.2,Clear
Nagaland,Dimapur,2024-12-13,12.5,0.0,43.5,Foggy
Andhra Pradesh,Vijayawada,2024-12-12,25.0,3.5,57.8,Cloudy
Bihar,Patna,2024-12-11,13.7,3.9,60.9,Foggy
Gujarat,Surat,2024-12-11,21.6,5.5,51.7,Sunny
Punjab,Jalandhar,2024-12-11,12.0,7.6,43.0,Sunny
Telangana,Nizamabad,2024-12-11,24.1,5.3,38.0,Foggy
Himachal Pradesh,Manali,2024-12-10,19.8,4.6,34.6,Cloudy
Maharashtra,Nagpur,2024-12-10,18.3,7.6,32.2,Clear
Rajasthan,Jaipur,2024-12-09,15.2,2.7,46.2,Sunny
Telangana,Hyderabad,2024-12-09,23.6,4.8,37.5,Sunny
Karnataka,Hubballi,2024-12-08,14.1,3.4,63.1,Foggy
Maharashtra,Pune,2024-12-07,14.7,2.2,45.7,Clear
Rajasthan,Jodhpur,2024-12-07,8.3,5.7,57.3,Clear
Tripura,Agartala,2024-12-07,14.7,2.2,45.7,Clear
Gujarat,Vadodara,2024-12-06,12.6,0.1,43.6,Cloudy
Manipur,Imphal,2024-12-06,12.1,5.9,60.2,Foggy
West Bengal,Kolkata,2024-12-06,17.3,6.6,31.2,Foggy
Kerala,Thiruvananthapuram,2024-12-05,21.9,2.2,37.6,Clear
West Bengal,Howrah,2024-12-05,25.8,5.2,56.8,Cloudy
Jammu and Kashmir,Jammu,2024-12-05,16.7,1.5,31.5,Clear
Goa,Margao,2024-12-04,20.2,0.5,49.4,Cloudy
Madhya Pradesh,Jabalpur,2024-12-04,22.0,6.8,36.8,Sunny
Punjab,Amritsar,2024-12-04,22.7,0.3,35.7,Clear
Karnataka,Mysuru,2024-12-03,17.4,4.9,48.4,Cloudy
Uttar Pradesh,Agra,2024-12-03,25.3,4.7,56.3,Foggy
Himachal Pradesh,Dharamshala,2024-12-02,16.6,6.8,50.3,Cloudy
Chhattisgarh,Raipur,2024-12-01,11.0,2.1,42.9,Cloudy
Tamil Nadu,Tiruchirappalli,2024-12-01,20.9,1.2,36.6,Foggy
Bihar,Gaya,2024-11-30,22.1,14.4,68.4,Cloudy
Chhattisgarh,Bilaspur,2024-11-30,21.7,9.3,68.4,Cloudy
Maharashtra,Nashik,2024-11-30,18.1,0.6,64.7,Clear
Odisha,Bhubaneswar,2024-11-30,18.1,0.6,64.7,Clear
Odisha,Rourkela,2024-11-30,18.2,20.7,64.7,Sunny
Chhattisgarh,Durg,2024-11-29,23.7,16.2,55.2,Humid
Kerala,Kozhikode,2024-11-29,27.2,4.6,73.7,Humid
Maharashtra,Aurangabad,2024-11-29,27.0,14.6,73.7,Sunny
Delhi (NCT),New Delhi,2024-11-29,23.7,16.2,55.2,Humid
Maharashtra,Mumbai,2024-11-28,32.7,0.1,64.2,Sunny
Rajasthan,Kota,2024-11-28,21.7,9.1,53.1,Sunny
Punjab,Ludhiana,2024-11-27,30.7,18.1,62.1,Humid
Karnataka,Bengaluru,2024-11-26,28.2,10.7,74.8,Humid
Uttarakhand,Nainital,2024-11-26,24.7,22.3,56.3,Humid
Gujarat,Rajkot,2024-11-25,22.8,10.2,54.2,Cloudy
Nagaland,Kohima,2024-11-24,28.1,15.5,59.5,Sunny
Tamil Nadu,Coimbatore,2024-11-24,24.2,21.8,55.8,Clear
Uttar Pradesh,Lucknow,2024-11-23,29.5,2.0,61.1,Humid
Delhi (NCT),Rohini,2024-11-23,18.3,20.8,64.8,Clear
Haryana,Panipat,2024-11-22,31.3,18.7,62.7,Sunny
Madhya Pradesh,Gwalior,2024-11-22,19.7,7.3,66.4,Cloudy
